transaction_id,batch_id,source_id,raw_id,account_id,event_type,amount,currency,occurred_at,description,confidence,review_state
txn_alipay_0001_98b82c7e,alipay_daily:alipay_bill_csv_v1:24779d7bb0f977d5,alipay_daily,alipay_daily:alipay_bill_csv_v1:24779d7bb0f977d5:row:1,acct_alipay,CASH,-171.27,CNY,2023-06-05,IGA Kingsford IGA Kingsford 日用百货,0.95,ACCEPTED
txn_alipay_0002_1a2b7c41,alipay_daily:alipay_bill_csv_v1:24779d7bb0f977d5,alipay_daily,alipay_daily:alipay_bill_csv_v1:24779d7bb0f977d5:row:2,acct_alipay,FUND,0.02,CNY,2023-06-05,余额宝-2023.06.04-收益发放 建信基金管理有限公司 投资理财,0.95,ACCEPTED
txn_alipay_0003_70c83f8e,alipay_daily:alipay_bill_csv_v1:24779d7bb0f977d5,alipay_daily,alipay_daily:alipay_bill_csv_v1:24779d7bb0f977d5:row:3,acct_alipay,CASH,-252.54,CNY,2023-06-04,HungryPanda-PD825208975840641024 HUNGRYPANDA 餐饮美食,0.95,ACCEPTED
txn_alipay_0004_142ed3b1,alipay_daily:alipay_bill_csv_v1:24779d7bb0f977d5,alipay_daily,alipay_daily:alipay_bill_csv_v1:24779d7bb0f977d5:row:4,acct_alipay,FUND,0.02,CNY,2023-06-04,余额宝-2023.06.03-收益发放 建信基金管理有限公司 投资理财,0.95,ACCEPTED
txn_alipay_0005_43bf30b1,alipay_daily:alipay_bill_csv_v1:24779d7bb0f977d5,alipay_daily,alipay_daily:alipay_bill_csv_v1:24779d7bb0f977d5:row:5,acct_alipay,FUND,0.02,CNY,2023-06-03,余额宝-2023.06.02-收益发放 建信基金管理有限公司 投资理财,0.95,ACCEPTED
txn_alipay_0006_5abad066,alipay_daily:alipay_bill_csv_v1:24779d7bb0f977d5,alipay_daily,alipay_daily:alipay_bill_csv_v1:24779d7bb0f977d5:row:6,acct_alipay,CASH,-200.0,CNY,2023-06-02,手机充值 中国联通官方旗舰店 充值缴费,0.95,ACCEPTED
txn_alipay_0007_4c1c61cc,alipay_daily:alipay_bill_csv_v1:24779d7bb0f977d5,alipay_daily,alipay_daily:alipay_bill_csv_v1:24779d7bb0f977d5:row:7,acct_alipay,CASH,-100.0,CNY,2023-06-02,手机充值 中国联通官方旗舰店 充值缴费,0.95,ACCEPTED
txn_alipay_0008_00575632,alipay_daily:alipay_bill_csv_v1:24779d7bb0f977d5,alipay_daily,alipay_daily:alipay_bill_csv_v1:24779d7bb0f977d5:row:8,acct_alipay,FUND,0.02,CNY,2023-06-02,余额宝-2023.06.01-收益发放 建信基金管理有限公司 投资理财,0.95,ACCEPTED
txn_alipay_0009_bdda1b72,alipay_daily:alipay_bill_csv_v1:24779d7bb0f977d5,alipay_daily,alipay_daily:alipay_bill_csv_v1:24779d7bb0f977d5:row:9,acct_alipay,FUND,0.02,CNY,2023-06-01,余额宝-2023.05.31-收益发放 建信基金管理有限公司 投资理财,0.95,ACCEPTED
txn_alipay_0010_f8f788c0,alipay_daily:alipay_bill_csv_v1:24779d7bb0f977d5,alipay_daily,alipay_daily:alipay_bill_csv_v1:24779d7bb0f977d5:row:10,acct_alipay,FUND,0.02,CNY,2023-05-31,余额宝-2023.05.30-收益发放 建信基金管理有限公司 投资理财,0.95,ACCEPTED
txn_alipay_0011_a63d8b21,alipay_daily:alipay_bill_csv_v1:24779d7bb0f977d5,alipay_daily,alipay_daily:alipay_bill_csv_v1:24779d7bb0f977d5:row:11,acct_alipay,FUND,0.02,CNY,2023-05-30,余额宝-2023.05.29-收益发放 建信基金管理有限公司 投资理财,0.95,ACCEPTED
txn_alipay_0012_6a60af85,alipay_daily:alipay_bill_csv_v1:24779d7bb0f977d5,alipay_daily,alipay_daily:alipay_bill_csv_v1:24779d7bb0f977d5:row:12,acct_alipay,TRANSFER,-500.0,CNY,2023-05-29,转账 ESSAYSOS(*转) 转账红包,0.95,ACCEPTED
txn_alipay_0013_c6bff2ed,alipay_daily:alipay_bill_csv_v1:24779d7bb0f977d5,alipay_daily,alipay_daily:alipay_bill_csv_v1:24779d7bb0f977d5:row:13,acct_alipay,FUND,0.04,CNY,2023-05-29,余额宝-2023.05.28-收益发放 建信基金管理有限公司 投资理财,0.95,ACCEPTED
txn_alipay_0014_1bc4df16,alipay_daily:alipay_bill_csv_v1:24779d7bb0f977d5,alipay_daily,alipay_daily:alipay_bill_csv_v1:24779d7bb0f977d5:row:14,acct_alipay,FUND,50.0,CNY,2023-05-28,余额宝-单次转入 余额宝 投资理财,0.95,ACCEPTED
