strategy_id,samples,pass_rate,avg_total_gap,median_total_gap,avg_annualized_gap,avg_drawdown_improvement,avg_strategy_return,avg_buy_hold_return,avg_var_5,avg_cvar_5,avg_turnover,avg_trades,promotion_state,requires_quantlab_exact_rerun,requires_user_approval_before_strategy_library_write
bw92_boll_or_rsi_none_ma_trend_full_atr_96,240,0.9625,-0.0145063181391303,-0.0072701077456271,-0.0042109693386322,0.0083830048011765,0.2528868260658013,0.2673931442049316,-0.0222728909382361,-0.0342457313751962,3.4445928141245568,272.2125,external_candidate,True,True
bw92_rsi_35_none_ma_trend_full_atr_96,240,0.9583333333333334,-0.0142534689129895,-0.0071443714620299,-0.0041750454934635,0.0086499492252476,0.253139675291942,0.2673931442049316,-0.0222620048560629,-0.03423428381596,3.3363075432548315,272.5125,external_candidate,True,True
bw92_boll_or_rsi_none_ma_trend_full_none,240,0.9583333333333334,-0.014195086746723,-0.0094183991883415,-0.0062747252536469,0.0053018421088666,0.2531980574582086,0.2673931442049316,-0.022443547185721,-0.0347987073263112,3.282013119170178,215.01666666666668,external_candidate,True,True
bw92_none_none_ma_trend_full_atr_96,240,0.9458333333333332,-0.013928255576919,-0.0079255270402606,-0.0027293141529321,0.0119517930081822,0.2534648886280126,0.2673931442049316,-0.0220868430158386,-0.0337596693733463,2.265578273351882,281.9916666666667,external_candidate,True,True
bw92_none_none_ma_trend_full_none,240,0.9458333333333332,-0.0135932477371605,-0.0082261237098456,-0.0035260593172437,0.0109049459751079,0.253799896467771,0.2673931442049316,-0.0221811998723537,-0.0339272885232717,1.916289586339161,238.1,external_candidate,True,True
bw92_boll_lower_none_ma_trend_full_atr_96,240,0.9458333333333332,-0.0158295761448702,-0.0090154443039576,-0.0044716528706689,0.0103378482299805,0.2515635680600614,0.2673931442049316,-0.0221330646279672,-0.0339361093769703,2.887870795659447,281.67083333333335,external_candidate,True,True
bw92_rsi_35_none_ma_trend_full_none,240,0.9458333333333332,-0.0136109609067113,-0.0094256564179817,-0.0061733691740899,0.0057518773132065,0.2537821832982202,0.2673931442049316,-0.0224273984732088,-0.0347809772273683,3.160391190609627,215.67083333333332,external_candidate,True,True
bw92_none_none_ma_trend_full_drawdown_90,240,0.9291666666666668,-0.0170874240433832,-0.0093501038599351,-0.0050134282841751,0.0140080833486115,0.2503057201615484,0.2673931442049316,-0.0218679076949647,-0.0334058704804831,2.274753377505735,265.87916666666666,external_candidate,True,True
bw92_boll_lower_none_ma_trend_full_drawdown_90,240,0.9291666666666668,-0.0179627234487059,-0.0094521502959076,-0.0052746455417777,0.0134136214862939,0.2494304207562256,0.2673931442049316,-0.0219087050984867,-0.0334518055266689,2.7442842630317457,265.30833333333334,external_candidate,True,True
bw92_rsi_35_none_ma_trend_full_drawdown_90,240,0.9291666666666668,-0.018439492215288,-0.0100805426643826,-0.0065457806822706,0.0122816598080714,0.2489536519896436,0.2673931442049316,-0.0219777167196963,-0.0336247055588634,3.1007922653309192,254.59583333333333,external_candidate,True,True
