coverage_mode,weight_mode,strategy_id,symbols,pass_rate,weighted_avg_total_gap,weighted_avg_annualized_gap,weighted_drawdown_improvement,weighted_turnover
strict,holding,alipay_like_chase_dip_sell_rally,8,0.25,-0.05141,-0.05581,0.02473,9.756
strict,holding,bw99_boll_or_rsi_none_ma_trend_full_none,8,1.0,-0.00166,-0.00181,0.00013,1.148
strict,holding,bw99_none_none_ma_trend_full_none,8,1.0,-0.00124,-0.00138,0.00104,1.052
strict,holding,bw98_boll_or_rsi_none_ma_trend_full_none,8,1.0,-0.00332,-0.00361,0.00025,1.294
strict,trade,alipay_like_chase_dip_sell_rally,6,0.167,-0.08364,-0.08868,0.01715,10.176
strict,trade,bw99_boll_or_rsi_none_ma_trend_full_none,6,1.0,-0.00291,-0.00308,0.00018,1.142
strict,trade,bw99_none_none_ma_trend_full_none,6,1.0,-0.00285,-0.00302,0.0005,1.049
strict,trade,bw98_boll_or_rsi_none_ma_trend_full_none,6,1.0,-0.00581,-0.00616,0.00037,1.283
with_substitutes,holding,alipay_like_chase_dip_sell_rally,12,0.417,-0.06082,-0.06421,0.02251,9.933
with_substitutes,holding,bw99_boll_or_rsi_none_ma_trend_full_none,12,1.0,-0.00191,-0.00202,0.00023,1.14
with_substitutes,holding,bw99_none_none_ma_trend_full_none,12,1.0,-0.00164,-0.00175,0.00103,1.052
with_substitutes,holding,bw98_boll_or_rsi_none_ma_trend_full_none,12,1.0,-0.00381,-0.00403,0.00046,1.278
with_substitutes,trade,alipay_like_chase_dip_sell_rally,10,0.4,-0.06022,-0.0632,0.01882,9.982
with_substitutes,trade,bw99_boll_or_rsi_none_ma_trend_full_none,10,1.0,-0.00196,-0.00206,0.00035,1.133
with_substitutes,trade,bw99_none_none_ma_trend_full_none,10,1.0,-0.00178,-0.00187,0.00087,1.051
with_substitutes,trade,bw98_boll_or_rsi_none_ma_trend_full_none,10,1.0,-0.00392,-0.00412,0.0007,1.265
