strategy_id,samples,pass_rate,avg_total_gap,median_total_gap,avg_annualized_gap,avg_drawdown_improvement,avg_strategy_return,avg_buy_hold_return,avg_var_5,avg_cvar_5,avg_turnover,avg_trades,bundle_warning,engine,approval_state,requires_exact_validation,requires_fund_rule_review,requires_user_approval_before_quantlab_write
bw92_none_none_none_drawdown_90,50,1.0,0.0027970291080729,-4.962601475211326e-05,0.0056602204798402,0.0259349944638218,-0.0306279153961514,-0.0334249445042244,-0.0201849148034173,-0.0358713589438053,1.406639520238716,481.84,,exact_backtest,external_evidence_only,False,False,True
bw92_none_none_none_none,50,1.0,0.0039838250714985,0.0079856171057046,0.0053618003651599,0.0237540419818972,-0.0230439639865498,-0.0270277890580483,-0.0201264222980616,-0.0359269268275549,1.2959855317062323,466.72,,exact_backtest,external_evidence_only,False,False,True
bw92_boll_lower_none_none_ma60_break_90,50,1.0,0.0033726131860935,0.0039106350711375,0.0045757927104805,0.0244817577162913,-0.0230640184187975,-0.026436631604891,-0.0201064231555726,-0.036228602597148,2.1699749540483673,471.76,,exact_backtest,external_evidence_only,False,False,True
bw92_none_none_none_ma60_break_90,50,1.0,0.0020515629952979,0.0009112898846781,0.0043621694404006,0.0281087212943494,-0.0119503521515294,-0.0140019151468273,-0.0185599029650417,-0.0320363742949221,1.8655833617895945,522.16,,exact_backtest,external_evidence_only,False,False,True
bw92_none_none_ma_trend_full_ma60_break_90,50,1.0,-0.0043384865866901,-0.0074320912621018,0.0012679570378513,0.0215851485731179,-0.0480048142552956,-0.0436663276686055,-0.0213105658997978,-0.0398212754236114,3.5923074325500455,239.24,,exact_backtest,external_evidence_only,False,False,True
bw92_none_none_ma_trend_full_atr_96,50,1.0,1.2556292542653669e-05,-0.0028017803542719,0.0006096499569914,0.0182373398485632,-0.0797391154188724,-0.0797516717114151,-0.0202424046242915,-0.0369040223704067,2.0790440786579607,213.76,,exact_backtest,external_evidence_only,False,False,True
bw92_none_none_ma_trend_full_drawdown_90,50,1.0,-0.0044374915838706,-0.0051234572044373,-0.0009479958178158,0.0207896682886198,0.0118924468478973,0.0163299384317679,-0.0203305306109501,-0.0359120476655221,2.135092028368529,215.38,,exact_backtest,external_evidence_only,False,False,True
bw92_none_none_ma_trend_full_none,50,1.0,-0.0045726020892836,-0.0061735063259532,-0.0019503120885364,0.0166638123680446,-0.0335452743021215,-0.0289726722128378,-0.0196812883867562,-0.0365955341426327,1.8474035190500404,196.84,,exact_backtest,external_evidence_only,False,False,True
bw92_none_none_macd_trend_full_none,50,1.0,-0.0057171486827629,-0.0085826813876624,-0.0022214921146939,0.016187571540873,-0.0380318187345515,-0.0323146700517885,-0.0215043189523925,-0.0389031127159812,4.692120446178635,346.98,,exact_backtest,external_evidence_only,False,False,True
bw92_none_none_macd_trend_full_drawdown_90,50,1.0,-0.0096227381217538,-0.0076074433573949,-0.0031962547577597,0.0195699204832441,0.0210890588502905,0.0307117969720443,-0.0211742934005334,-0.0388014940726661,4.857355393204334,367.36,,exact_backtest,external_evidence_only,False,False,True
bw92_none_none_none_atr_96,50,0.98,0.0050245095934849,0.0079224275067352,0.0040951543511083,0.0233570475605101,-0.0329254676154732,-0.0379499772089582,-0.0173407712345039,-0.033414689613042,1.2417935610925015,461.68,,exact_backtest,external_evidence_only,False,False,True
bw92_boll_lower_none_none_none,50,0.98,0.0021915628638427,0.0046282639829142,0.003974009247823,0.0144993665997166,-0.0569892481014723,-0.059180810965315,-0.0200293692068061,-0.0370195320172203,3.000087162423318,481.66,,exact_backtest,external_evidence_only,False,False,True
