group_name,stock_id,symbol,code,name,eng_name,exchange,region,currency_code,instrument_type,asset_class,research_group
全部,87668873958572,512620,512620,农业ETF天弘,Tianhong CSI Agriculture Thematic ETF,SSE,2,13,4,ETF,农业/周期
全部,62474596587640,300024,300024,机器人,Siasun Robot&Automation,SZSE,2,13,3,Stock,机器人
全部,80723911844890,516570,516570,化工行业ETF易方达,E Fund CSI Petrochemical Industry ETF,SSE,2,13,4,ETF,化工/周期
全部,72000000,USDCNY,USDCNY,美元/人民币,USD/CNY,FX,1,,11,FX,汇率
全部,79572861252811,159819,159819,人工智能ETF易方达,E Fund Artificial Intelligence ETF,SZSE,2,13,4,ETF,AI/科技
全部,1000001,000001,000001,上证指数,SSE Composite Index,SSE,2,13,6,Index,宽基指数
全部,206682,VOO,VOO,标普500ETF-Vanguard,Vanguard S&P 500 ETF,US,4,55,4,ETF,美股宽基
全部,203290,QQQ,QQQ,纳指100ETF-Invesco QQQ Trust,Invesco QQQ Trust,US,4,55,4,ETF,美股科技
全部,208277,NOBL,NOBL,ProShares标普500股利贵族ETF,Proshares Trust S&P 500 Divid Aristocrats Etf,US,4,55,4,ETF,美股红利
全部,84628037163404,563020,563020,红利低波ETF易方达,E Fund CSI Dividend Low Volatility ETF,SSE,2,13,4,ETF,红利低波
全部,2399986,399986,399986,中证银行,CSI Banks Index,SZSE,2,13,6,Index,银行
全部,79246442579184,000688,000688,科创50,SSE Science and Technology Innovation Board 50 Index,SSE,2,13,6,Index,科创成长
全部,72000007,AUDCNY,AUDCNY,澳元/人民币,AUD/CNY,FX,1,,11,FX,汇率
全部,78602198644091,159995,159995,芯片ETF华夏,Chip ETF,SZSE,2,13,4,ETF,半导体
全部,1518800,518800,518800,黄金ETF国泰,Guotai Gold ETF,SSE,2,13,4,ETF,黄金
全部,80620833272958,159742,159742,恒生科技ETF博时,Hang Seng TECH ETF I,SZSE,2,13,4,ETF,港股科技
