date,symbol,quote_code,name,exchange,asset_class,research_group,close,daily_change_pct,open,high,low,volume,turnover,snapshot_note,source_name,source_url
2026-06-05,512620,SH.512620,农业ETF天弘,SSE,ETF,农业/周期,0.855,-0.04575893,0.85500002,0.86299998,0.852,4510900,3856819.5,OpenD 未返回可用行情，已用Yahoo Finance (US)补充（2026-06-05 06:59:55 UTC）,Yahoo Finance (US),https://finance.yahoo.com
2026-06-05,300024,SZ.300024,机器人,SZSE,Stock,机器人,15.57,0.04356568,15.71000004,16.14999962,14.23999977,73504411,1144463679.26999998,OpenD 未返回可用行情，已用Yahoo Finance (US)补充（2026-06-05 07:00:03 UTC）,Yahoo Finance (US),https://finance.yahoo.com
2026-06-05,516570,SH.516570,化工行业ETF易方达,SSE,ETF,化工/周期,0.994,-0.00400802,0.98799998,1.00999999,0.98299998,47108000,46825352,OpenD 未返回可用行情，已用Yahoo Finance (US)补充（2026-06-05 06:59:37 UTC）,Yahoo Finance (US),https://finance.yahoo.com
2026-06-05,159819,SZ.159819,人工智能ETF易方达,SZSE,ETF,AI/科技,1.952,0.01878914,2.04399991,2.04500008,1.93400002,553761311,1080942079.07200003,OpenD 未返回可用行情，已用Yahoo Finance (US)补充（2026-06-05 07:00:01 UTC）,Yahoo Finance (US),https://finance.yahoo.com
2026-06-05,000001,SH.000001,上证指数,SSE,Index,宽基指数,4027.504,-0.00745144,4044.82910156,4078.93164062,4015.06298828,1811743960,7296806045875.83984375,OpenD 未返回可用行情，已用Yahoo Finance (US)补充（2026-06-05 07:00:29 UTC）,Yahoo Finance (US),https://finance.yahoo.com
2026-06-05,VOO,US.VOO,标普500ETF-Vanguard,US,ETF,美股宽基,696.06,0.00389408,691.49,697.2,690.9,6630041,4602043219,moomoo OpenD 行情快照,Moomoo OpenD,opend://127.0.0.1
2026-06-05,QQQ,US.QQQ,纳指100ETF-Invesco QQQ Trust,US,ETF,美股科技,740.61,-0.00483734,735.48,743.4988,732.62,40782580,30145096578,moomoo OpenD 行情快照,Moomoo OpenD,opend://127.0.0.1
2026-06-05,NOBL,US.NOBL,ProShares标普500股利贵族ETF,US,ETF,美股红利,54.17,0.01063433,54.14,54.5,53.99,733884,39766382,moomoo OpenD 行情快照,Moomoo OpenD,opend://127.0.0.1
2026-06-05,563020,SH.563020,红利低波ETF易方达,SSE,ETF,红利低波,1.165,-0.01936027,1.16499996,1.176,1.16299999,200951900,234108963.5,OpenD 未返回可用行情，已用Yahoo Finance (US)补充（2026-06-05 06:59:59 UTC）,Yahoo Finance (US),https://finance.yahoo.com
2026-06-05,399986,SZ.399986,中证银行,SZSE,Index,银行,7155.496,0.01314979,7074.98730469,7174.40722656,7074.98730469,3337734209,23883143781562.6640625,OpenD 未返回可用行情，已用Yahoo Finance (US)补充（2026-06-05 07:00:10 UTC）,Yahoo Finance (US),https://finance.yahoo.com
2026-06-05,000688,SH.000688,科创50,SSE,Index,科创成长,1668.329,-0.04011947,1706.53125,1735.07824707,1659.47875977,1683570900,2808750156026.10009766,OpenD 未返回可用行情，已用Yahoo Finance (US)补充（2026-06-05 07:00:50 UTC）,Yahoo Finance (US),https://finance.yahoo.com
2026-06-05,159995,SZ.159995,芯片ETF华夏,SZSE,ETF,半导体,2.403,0.01951633,2.65100002,2.50600004,2.38599992,565964827,1360013479.2809999,OpenD 未返回可用行情，已用Yahoo Finance (US)补充（2026-06-05 07:00:03 UTC）,Yahoo Finance (US),https://finance.yahoo.com
2026-06-05,518800,SH.518800,黄金ETF国泰,SSE,ETF,黄金,9.699,-0.009902,9.73700047,9.73700047,9.65600014,75728928,734494872.67199993,OpenD 未返回可用行情，已用Yahoo Finance (US)补充（2026-06-05 07:00:00 UTC）,Yahoo Finance (US),https://finance.yahoo.com
2026-06-05,159742,SZ.159742,恒生科技ETF博时,SZSE,ETF,港股科技,0.627,-0.01569859,0.63200003,0.639,0.625,507426045,318156130.21499997,OpenD 未返回可用行情，已用Yahoo Finance (US)补充（2026-06-05 07:00:02 UTC）,Yahoo Finance (US),https://finance.yahoo.com
2026-06-05,USDCNY,,美元/人民币,FX,FX,汇率,,,,,,,,暂不支持该市场代码的 OpenD 快照映射,Moomoo Watchlist,local://moomoo-watchlist-db
2026-06-05,AUDCNY,,澳元/人民币,FX,FX,汇率,,,,,,,,暂不支持该市场代码的 OpenD 快照映射,Moomoo Watchlist,local://moomoo-watchlist-db
