strategy_id,samples,pass_rate,avg_total_gap,median_total_gap,avg_annualized_gap,avg_drawdown_improvement,avg_strategy_return,avg_buy_hold_return,avg_var_5,avg_cvar_5,avg_turnover,avg_trades,bundle_warning,engine,approval_state,requires_exact_validation,requires_fund_rule_review,requires_user_approval_before_quantlab_write
bw92_boll_lower_weak_trend_trim_none_drawdown_90,18,1.0,0.0831325301130259,0.0336776780358413,0.040391343034493,0.04839508695663,-0.1381491964884872,-0.221281726601513,-0.0168655530266881,-0.0260212362934892,4.087492444668883,502.0,,exact_backtest,external_evidence_only,False,False,True
bw92_boll_lower_weak_trend_trim_none_ma60_break_90,18,1.0,0.0822533847567969,0.03025321725828,0.0398925202422678,0.0481739905128093,-0.1390283418447161,-0.221281726601513,-0.0166836225847185,-0.025960655095497,4.07401374554066,502.0,,exact_backtest,external_evidence_only,False,False,True
bw92_boll_lower_weak_trend_trim_none_none,18,1.0,0.0820448423151603,0.0309138776449285,0.0397863210860489,0.0477713350253143,-0.1392368842863528,-0.221281726601513,-0.0169333914494836,-0.0261015273497875,4.323534113873062,501.8888888888889,,exact_backtest,external_evidence_only,False,False,True
bw92_boll_lower_weak_trend_trim_none_atr_96,18,1.0,0.0820445717253852,0.0309138776449285,0.0397772594047832,0.0477255616940752,-0.1392371548761277,-0.221281726601513,-0.016893163511281,-0.0260595796468036,4.26360672225392,501.8888888888889,,exact_backtest,external_evidence_only,False,False,True
bw92_rsi_35_weak_trend_trim_none_drawdown_90,17,1.0,0.0826174490464001,0.0315757503943281,0.0392790316079791,0.0450530721084725,-0.1235761752102837,-0.206193624256684,-0.0165537629450802,-0.0260178324257312,5.122021201727708,496.52941176470586,,exact_backtest,external_evidence_only,False,False,True
bw92_boll_lower_weak_trend_trim_strong_trend_full_drawdown_90,18,1.0,0.0811783881228343,0.032076766396667,0.039276393320174,0.0463571094153911,-0.1401033384786787,-0.221281726601513,-0.0170629752210858,-0.0266549185713159,5.187135300019658,464.8888888888889,,exact_backtest,external_evidence_only,False,False,True
bw92_boll_lower_weak_trend_trim_strong_trend_full_ma60_break_90,18,1.0,0.080275154926232,0.0308086166606308,0.0388061388282871,0.0462223740336362,-0.141006571675281,-0.221281726601513,-0.0171637343238477,-0.0267453577336141,5.542683014214415,450.22222222222223,,exact_backtest,external_evidence_only,False,False,True
bw92_boll_or_rsi_weak_trend_trim_none_drawdown_90,17,1.0,0.0816836332811808,0.0299224420334668,0.0387442459078826,0.0442678599489703,-0.1245099909755031,-0.206193624256684,-0.0165696197748282,-0.0260420213600509,5.269969561199373,496.47058823529414,,exact_backtest,external_evidence_only,False,False,True
bw92_rsi_35_weak_trend_trim_none_ma60_break_90,17,1.0,0.0814996793876111,0.0308384279778463,0.0386725059001559,0.044670823414944,-0.1246939448690728,-0.206193624256684,-0.016506187654491,-0.026025132408875,5.090511955313637,498.11764705882354,,exact_backtest,external_evidence_only,False,False,True
bw92_rsi_35_weak_trend_trim_none_none,17,1.0,0.0814774477918657,0.0295042804331798,0.0386336811149855,0.0439811133566842,-0.1247161764648182,-0.206193624256684,-0.0167393479697908,-0.0261822930203594,5.639898222589755,490.6470588235294,,exact_backtest,external_evidence_only,False,False,True
bw92_boll_lower_weak_trend_trim_strong_trend_full_none,18,1.0,0.0799157844227994,0.0304885141264961,0.0386109675457369,0.0456797271347771,-0.1413659421787136,-0.221281726601513,-0.0172431590744026,-0.0268661425360028,5.811151117304618,450.0,,exact_backtest,external_evidence_only,False,False,True
bw92_boll_lower_weak_trend_trim_strong_trend_full_atr_96,18,1.0,0.0798586643589088,0.0303956029669603,0.0386084955475062,0.0460776070665542,-0.1414230622426042,-0.221281726601513,-0.0172818908641563,-0.0267805237995282,5.760900503476073,459.94444444444446,,exact_backtest,external_evidence_only,False,False,True
bw92_rsi_35_weak_trend_trim_none_atr_96,17,1.0,0.0812019372648238,0.0292344729248394,0.0384569461285607,0.0437235700531796,-0.1249916869918601,-0.206193624256684,-0.0167315472487311,-0.0261467891329887,5.632631111407504,494.6470588235294,,exact_backtest,external_evidence_only,False,False,True
