symbol,market,returncode,stdout,stderr
US.VYM,US_ETF,0,"2026-06-05 10:02:45,908 | 51983 | 8490065536 | [open_context_base.py:410] _init_connect_sync: New connect ready: conn=7468452217969375947(1) context=<moomoo.quote.open_quote_context.OpenQuoteContext object at 0x10bc0e4b0>
2026-06-05 10:02:47,151 | 51983 | 6163099648 | [open_context_base.py:520] on_disconnect: Disconnected: conn=0(1) reason=CallClose
data_cache_moomoo_batch11_30/US_ETF/US.VYM.csv",
US.IWB,US_ETF,0,"2026-06-05 10:03:01,434 | 52281 | 8490065536 | [open_context_base.py:410] _init_connect_sync: New connect ready: conn=7468452283123279130(1) context=<moomoo.quote.open_quote_context.OpenQuoteContext object at 0x10dd43d10>
2026-06-05 10:03:02,121 | 52281 | 6128939008 | [open_context_base.py:520] on_disconnect: Disconnected: conn=0(1) reason=CallClose
data_cache_moomoo_batch11_30/US_ETF/US.IWB.csv",
US.IWF,US_ETF,0,"2026-06-05 10:03:05,799 | 52624 | 8490065536 | [open_context_base.py:410] _init_connect_sync: New connect ready: conn=7468452301438755390(1) context=<moomoo.quote.open_quote_context.OpenQuoteContext object at 0x109ab1be0>
2026-06-05 10:03:06,467 | 52624 | 6201012224 | [open_context_base.py:520] on_disconnect: Disconnected: conn=0(1) reason=CallClose
data_cache_moomoo_batch11_30/US_ETF/US.IWF.csv",
US.IWD,US_ETF,0,"2026-06-05 10:03:09,242 | 52678 | 8490065536 | [open_context_base.py:410] _init_connect_sync: New connect ready: conn=7468452315881388891(1) context=<moomoo.quote.open_quote_context.OpenQuoteContext object at 0x107666840>
2026-06-05 10:03:09,856 | 52678 | 6192508928 | [open_context_base.py:520] on_disconnect: Disconnected: conn=0(1) reason=CallClose
data_cache_moomoo_batch11_30/US_ETF/US.IWD.csv",
US.IVE,US_ETF,0,"2026-06-05 10:03:13,758 | 52680 | 8490065536 | [open_context_base.py:410] _init_connect_sync: New connect ready: conn=7468452334804961790(1) context=<moomoo.quote.open_quote_context.OpenQuoteContext object at 0x10e11eab0>
2026-06-05 10:03:14,447 | 52680 | 6125547520 | [open_context_base.py:520] on_disconnect: Disconnected: conn=0(1) reason=CallClose
data_cache_moomoo_batch11_30/US_ETF/US.IVE.csv",
US.IVW,US_ETF,0,"2026-06-05 10:03:18,311 | 52705 | 8490065536 | [open_context_base.py:410] _init_connect_sync: New connect ready: conn=7468452353891551906(1) context=<moomoo.quote.open_quote_context.OpenQuoteContext object at 0x10b447440>
2026-06-05 10:03:19,012 | 52705 | 6165639168 | [open_context_base.py:520] on_disconnect: Disconnected: conn=0(1) reason=CallClose
data_cache_moomoo_batch11_30/US_ETF/US.IVW.csv",
US.MDY,US_ETF,0,"2026-06-05 10:03:29,808 | 52884 | 8490065536 | [open_context_base.py:410] _init_connect_sync: New connect ready: conn=7468452402126901568(1) context=<moomoo.quote.open_quote_context.OpenQuoteContext object at 0x10b6fbf80>
2026-06-05 10:03:30,543 | 52884 | 6169620480 | [open_context_base.py:520] on_disconnect: Disconnected: conn=0(1) reason=CallClose
data_cache_moomoo_batch11_30/US_ETF/US.MDY.csv",
US.IJH,US_ETF,0,"2026-06-05 10:03:38,763 | 53263 | 8490065536 | [open_context_base.py:410] _init_connect_sync: New connect ready: conn=7468452439662609034(1) context=<moomoo.quote.open_quote_context.OpenQuoteContext object at 0x10c07ea20>
2026-06-05 10:03:40,060 | 53263 | 6159331328 | [open_context_base.py:520] on_disconnect: Disconnected: conn=0(1) reason=CallClose
data_cache_moomoo_batch11_30/US_ETF/US.IJH.csv",
US.IJR,US_ETF,0,"2026-06-05 10:03:47,839 | 53684 | 8490065536 | [open_context_base.py:410] _init_connect_sync: New connect ready: conn=7468452477759018030(1) context=<moomoo.quote.open_quote_context.OpenQuoteContext object at 0x10ba23e00>
2026-06-05 10:03:48,715 | 53684 | 6159151104 | [open_context_base.py:520] on_disconnect: Disconnected: conn=0(1) reason=CallClose
data_cache_moomoo_batch11_30/US_ETF/US.IJR.csv",
US.IJS,US_ETF,0,"2026-06-05 10:04:01,967 | 54059 | 8490065536 | [open_context_base.py:410] _init_connect_sync: New connect ready: conn=7468452536978752000(1) context=<moomoo.quote.open_quote_context.OpenQuoteContext object at 0x10bb27230>
2026-06-05 10:04:03,050 | 54059 | 6165049344 | [open_context_base.py:520] on_disconnect: Disconnected: conn=0(1) reason=CallClose
data_cache_moomoo_batch11_30/US_ETF/US.IJS.csv",
US.EFA,US_ETF,0,"2026-06-05 10:04:06,504 | 54516 | 8490065536 | [open_context_base.py:410] _init_connect_sync: New connect ready: conn=7468452556049755604(1) context=<moomoo.quote.open_quote_context.OpenQuoteContext object at 0x10d62ffe0>
2026-06-05 10:04:07,106 | 54516 | 6135869440 | [open_context_base.py:520] on_disconnect: Disconnected: conn=0(1) reason=CallClose
data_cache_moomoo_batch11_30/US_ETF/US.EFA.csv",
US.EEM,US_ETF,0,"2026-06-05 10:04:08,692 | 54588 | 8490065536 | [open_context_base.py:410] _init_connect_sync: New connect ready: conn=7468452565230968178(1) context=<moomoo.quote.open_quote_context.OpenQuoteContext object at 0x108ef4680>
2026-06-05 10:04:09,363 | 54588 | 6204157952 | [open_context_base.py:520] on_disconnect: Disconnected: conn=0(1) reason=CallClose
data_cache_moomoo_batch11_30/US_ETF/US.EEM.csv",
US.VEA,US_ETF,0,"2026-06-05 10:04:11,266 | 54590 | 8490065536 | [open_context_base.py:410] _init_connect_sync: New connect ready: conn=7468452576027087987(1) context=<moomoo.quote.open_quote_context.OpenQuoteContext object at 0x10d813350>
2026-06-05 10:04:12,006 | 54590 | 6134509568 | [open_context_base.py:520] on_disconnect: Disconnected: conn=0(1) reason=CallClose
data_cache_moomoo_batch11_30/US_ETF/US.VEA.csv",
US.VWO,US_ETF,0,"2026-06-05 10:04:14,378 | 54592 | 8490065536 | [open_context_base.py:410] _init_connect_sync: New connect ready: conn=7468452589086963370(1) context=<moomoo.quote.open_quote_context.OpenQuoteContext object at 0x10d623650>
2026-06-05 10:04:15,260 | 54592 | 6130495488 | [open_context_base.py:520] on_disconnect: Disconnected: conn=0(1) reason=CallClose
data_cache_moomoo_batch11_30/US_ETF/US.VWO.csv",
US.ACWI,US_ETF,0,"2026-06-05 10:04:18,030 | 54617 | 8490065536 | [open_context_base.py:410] _init_connect_sync: New connect ready: conn=7468452604399257100(1) context=<moomoo.quote.open_quote_context.OpenQuoteContext object at 0x109af7620>
2026-06-05 10:04:18,674 | 54617 | 6202404864 | [open_context_base.py:520] on_disconnect: Disconnected: conn=0(1) reason=CallClose
data_cache_moomoo_batch11_30/US_ETF/US.ACWI.csv",
US.VT,US_ETF,0,"2026-06-05 10:04:24,493 | 54624 | 8490065536 | [open_context_base.py:410] _init_connect_sync: New connect ready: conn=7468452631489699390(1) context=<moomoo.quote.open_quote_context.OpenQuoteContext object at 0x10a439fa0>
2026-06-05 10:04:25,251 | 54624 | 6188871680 | [open_context_base.py:520] on_disconnect: Disconnected: conn=0(1) reason=CallClose
data_cache_moomoo_batch11_30/US_ETF/US.VT.csv",
US.IEFA,US_ETF,0,"2026-06-05 10:04:32,544 | 55010 | 8490065536 | [open_context_base.py:410] _init_connect_sync: New connect ready: conn=7468452665253573068(1) context=<moomoo.quote.open_quote_context.OpenQuoteContext object at 0x10ceca4b0>
2026-06-05 10:04:33,592 | 55010 | 6137425920 | [open_context_base.py:520] on_disconnect: Disconnected: conn=0(1) reason=CallClose
data_cache_moomoo_batch11_30/US_ETF/US.IEFA.csv",
US.IEMG,US_ETF,0,"2026-06-05 10:04:36,348 | 55282 | 8490065536 | [open_context_base.py:410] _init_connect_sync: New connect ready: conn=7468452681229600025(1) context=<moomoo.quote.open_quote_context.OpenQuoteContext object at 0x109ebcc20>
2026-06-05 10:04:37,103 | 55282 | 6193164288 | [open_context_base.py:520] on_disconnect: Disconnected: conn=0(1) reason=CallClose
data_cache_moomoo_batch11_30/US_ETF/US.IEMG.csv",
US.HYG,US_ETF,0,"2026-06-05 10:04:40,711 | 55485 | 8490065536 | [open_context_base.py:410] _init_connect_sync: New connect ready: conn=7468452699521934073(1) context=<moomoo.quote.open_quote_context.OpenQuoteContext object at 0x1071fd250>
2026-06-05 10:04:41,392 | 55485 | 6196801536 | [open_context_base.py:520] on_disconnect: Disconnected: conn=0(1) reason=CallClose
data_cache_moomoo_batch11_30/US_ETF/US.HYG.csv",
US.LQD,US_ETF,0,"2026-06-05 10:04:46,064 | 55670 | 8490065536 | [open_context_base.py:410] _init_connect_sync: New connect ready: conn=7468452720585294229(1) context=<moomoo.quote.open_quote_context.OpenQuoteContext object at 0x10a7c1250>
2026-06-05 10:04:47,111 | 55670 | 6168080384 | [open_context_base.py:520] on_disconnect: Disconnected: conn=0(1) reason=CallClose
data_cache_moomoo_batch11_30/US_ETF/US.LQD.csv",
