batch_index,universe_index,symbol,source_symbol,market,asset_class,tradability,returncode,cache_path,metadata_path,error
1,30,TLT,US.TLT,US_ETF,BOND,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,data_cache_moomoo_batch31_80/US_ETF/US.TLT.csv,data_cache_moomoo_batch31_80/US_ETF/US.TLT.metadata.json,
2,31,IEF,US.IEF,US_ETF,BOND,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,data_cache_moomoo_batch31_80/US_ETF/US.IEF.csv,data_cache_moomoo_batch31_80/US_ETF/US.IEF.metadata.json,
3,32,SHY,US.SHY,US_ETF,BOND,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,data_cache_moomoo_batch31_80/US_ETF/US.SHY.csv,data_cache_moomoo_batch31_80/US_ETF/US.SHY.metadata.json,
4,33,BIL,US.BIL,US_ETF,BOND,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,data_cache_moomoo_batch31_80/US_ETF/US.BIL.csv,data_cache_moomoo_batch31_80/US_ETF/US.BIL.metadata.json,
5,34,TIP,US.TIP,US_ETF,BOND,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,data_cache_moomoo_batch31_80/US_ETF/US.TIP.csv,data_cache_moomoo_batch31_80/US_ETF/US.TIP.metadata.json,
6,35,MUB,US.MUB,US_ETF,BOND,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,data_cache_moomoo_batch31_80/US_ETF/US.MUB.csv,data_cache_moomoo_batch31_80/US_ETF/US.MUB.metadata.json,
7,36,BND,US.BND,US_ETF,BOND,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,data_cache_moomoo_batch31_80/US_ETF/US.BND.csv,data_cache_moomoo_batch31_80/US_ETF/US.BND.metadata.json,
8,37,AGG,US.AGG,US_ETF,BOND,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,data_cache_moomoo_batch31_80/US_ETF/US.AGG.csv,data_cache_moomoo_batch31_80/US_ETF/US.AGG.metadata.json,
9,38,VCIT,US.VCIT,US_ETF,BOND,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,data_cache_moomoo_batch31_80/US_ETF/US.VCIT.csv,data_cache_moomoo_batch31_80/US_ETF/US.VCIT.metadata.json,
10,39,VCSH,US.VCSH,US_ETF,BOND,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,data_cache_moomoo_batch31_80/US_ETF/US.VCSH.csv,data_cache_moomoo_batch31_80/US_ETF/US.VCSH.metadata.json,
