strategy_id,samples,pass_rate,avg_total_gap,median_total_gap,avg_annualized_gap,avg_drawdown_improvement,avg_strategy_return,avg_buy_hold_return,avg_var_5,avg_cvar_5,avg_turnover,avg_trades,promotion_state,requires_quantlab_exact_rerun,requires_user_approval_before_strategy_library_write
bw92_boll_lower_rsi_high_trim_none_ma60_break_90,100,1.0,0.0242422816820643,0.0210264493107666,0.0150541906129742,0.0303461708413991,-0.1589256518189305,-0.1831679335009949,-0.0240874557835247,-0.0366390495873927,4.754509371762697,501.89,external_candidate,True,True
bw92_boll_lower_boll_upper_trim_strong_trend_full_ma60_break_90,100,1.0,0.0233514809992208,0.0195038880509121,0.0147583388588096,0.033234866130784,-0.159816452501774,-0.1831679335009949,-0.0247982804807922,-0.0374302146059677,8.705304657601074,500.37,external_candidate,True,True
bw92_none_none_none_ma60_break_90,100,1.0,0.0234287226649746,0.018229951676732,0.0142777085350748,0.0294744451957958,-0.1597392108360202,-0.1831679335009949,-0.0236658049263374,-0.0354378597531295,1.9090823156883232,501.88,external_candidate,True,True
bw92_boll_lower_none_none_ma60_break_90,100,1.0,0.023408250642008,0.0178944670122622,0.0142672283852909,0.029379495175344,-0.1597596828589868,-0.1831679335009949,-0.0237077704661215,-0.0355118582640402,2.134890245927526,501.88,external_candidate,True,True
bw92_boll_lower_boll_upper_trim_macd_trend_full_ma60_break_90,100,1.0,0.0225487723961828,0.0196964429938599,0.0141956259502817,0.0319563649986067,-0.160619161104812,-0.1831679335009949,-0.0248431006026626,-0.0374489583495652,7.95139441984155,499.78,external_candidate,True,True
bw92_rsi_35_rsi_high_trim_none_ma60_break_90,100,1.0,0.0222274384453902,0.0202907263671423,0.0139137048424878,0.0293040853899688,-0.1609404950556046,-0.1831679335009949,-0.0242493652338561,-0.0368460417232946,5.2585634233295195,500.11,external_candidate,True,True
bw92_boll_or_rsi_rsi_high_trim_none_ma60_break_90,100,1.0,0.0221750243724817,0.0194253184879051,0.0138796340439305,0.0291349223707415,-0.1609929091285132,-0.1831679335009949,-0.0242622878155687,-0.03686397474932,5.322710050416165,500.08,external_candidate,True,True
bw92_rsi_35_boll_upper_trim_strong_trend_full_ma60_break_90,100,1.0,0.0213273548611773,0.0156187808027953,0.0136158311187134,0.0320788655416798,-0.1618405786398175,-0.1831679335009949,-0.0249353530682027,-0.0375791085171609,9.194710583552505,498.58,external_candidate,True,True
bw92_boll_or_rsi_boll_upper_trim_strong_trend_full_ma60_break_90,100,1.0,0.0212752120892899,0.0156187808027953,0.0135817805818106,0.0320206109244251,-0.1618927214117049,-0.1831679335009949,-0.024940126685466,-0.0375861126052865,9.25879995866877,498.55,external_candidate,True,True
bw92_none_none_none_drawdown_90,100,1.0,0.0214199436021634,0.0162686051512589,0.013394816907538,0.028346852102503,-0.1617479898988314,-0.1831679335009949,-0.0236773875128644,-0.0354485497751332,1.624111364567806,501.82,external_candidate,True,True
bw92_rsi_35_none_none_ma60_break_90,100,1.0,0.0214036570201794,0.0184620265104115,0.0131300457807288,0.028348211096222,-0.1617642764808154,-0.1831679335009949,-0.0238565560171736,-0.0357462428704318,2.643657445229538,500.11,external_candidate,True,True
bw92_none_none_none_atr_96,100,1.0,0.0214946635785354,0.0184935190851917,0.0131200712429785,0.0253905186341713,-0.1616732699224594,-0.1831679335009949,-0.0239503532682052,-0.0358289433876949,1.3569607098879632,501.82,external_candidate,True,True
bw92_none_none_none_none,100,1.0,0.0214946635785354,0.0184935190851917,0.0131200712429785,0.0253905186341713,-0.1616732699224594,-0.1831679335009949,-0.0239503532682052,-0.0358289433876949,1.3569607098879632,501.82,external_candidate,True,True
bw92_boll_or_rsi_none_none_ma60_break_90,100,1.0,0.021352362329069,0.0182033125038099,0.0130962618594673,0.028172016107492,-0.1618155711719259,-0.1831679335009949,-0.023866198968447,-0.0357669863684107,2.70796833031721,500.08,external_candidate,True,True
bw92_rsi_35_boll_upper_trim_macd_trend_full_ma60_break_90,100,1.0,0.0205355272961163,0.0168030920846955,0.0130566857722465,0.0307747221534467,-0.1626324062048785,-0.1831679335009949,-0.0249984315632846,-0.0376025960276903,8.442522688112163,498.0,external_candidate,True,True
bw92_boll_or_rsi_boll_upper_trim_macd_trend_full_ma60_break_90,100,1.0,0.0204835736004411,0.0162148478724252,0.0130227260271443,0.030716829524426,-0.1626843599005537,-0.1831679335009949,-0.0250113033304024,-0.0376099132032982,8.506676225308418,497.97,external_candidate,True,True
bw92_boll_lower_boll_upper_trim_none_none,100,1.0,0.0173787895736306,0.015075952286691,0.011868029994485,0.0280604756683395,-0.1657891439273642,-0.1831679335009949,-0.0251193050288064,-0.0379814404846442,9.025477110694297,501.67,external_candidate,True,True
bw92_boll_lower_boll_upper_trim_ma_trend_full_ma60_break_90,100,1.0,0.0184992807566815,0.010683906189208,0.0118360088547314,0.0291492099212667,-0.1646686527443133,-0.1831679335009949,-0.0252596239925589,-0.0381624232555343,9.066078535669098,463.85,external_candidate,True,True
bw92_boll_lower_boll_upper_trim_none_atr_96,100,1.0,0.0169328797948166,0.0150186785664139,0.0116375704303705,0.0279717658686082,-0.1662350537061782,-0.1831679335009949,-0.0250250629047426,-0.0378696880382252,8.866749205430851,501.77,external_candidate,True,True
bw92_rsi_35_boll_upper_trim_ma_trend_full_ma60_break_90,100,1.0,0.0173790936208981,0.0100549623648013,0.0111642063908734,0.028348556873603,-0.1657888398800967,-0.1831679335009949,-0.0252938954061417,-0.0382625441229797,9.082353818313177,462.65,external_candidate,True,True
