strategy_id,samples,pass_rate,avg_total_gap,median_total_gap,avg_annualized_gap,avg_drawdown_improvement,avg_strategy_return,avg_buy_hold_return,avg_var_5,avg_cvar_5,avg_turnover,avg_trades,promotion_state,requires_quantlab_exact_rerun,requires_user_approval_before_strategy_library_write
bw92_boll_lower_weak_trend_trim_ma_trend_full_drawdown_90,21,1.0,0.0549650641683124,0.0011518948388251,0.0282614609000754,0.0412189453540819,-0.0360567693274083,-0.0910218334957208,-0.0225825728659869,-0.0378707826597521,4.15585856236373,357.3333333333333,external_candidate,True,True
bw92_boll_lower_none_none_ma60_break_90,21,1.0,0.0375089984932107,0.0066569909771705,0.0185931698612094,0.0300189712757538,0.0619668231657732,0.0244578246725624,-0.0256782607053312,-0.0403488865627998,2.2163662242009883,501.4761904761905,external_candidate,True,True
bw92_rsi_35_rsi_high_trim_strong_trend_full_ma60_break_90,22,1.0,0.031992412443061,0.0053273714791359,0.0171698836066638,0.0274558188035565,0.0119423636545726,-0.0200500487884883,-0.0250171171411882,-0.0375293782962243,7.814329074686404,479.72727272727275,external_candidate,True,True
bw92_boll_lower_weak_trend_trim_macd_trend_full_none,17,1.0,0.0195269940310855,0.0170424645186916,0.0135357906366694,0.0424878984790864,-0.1270834931205012,-0.1466104871515867,-0.0261389941004925,-0.0382075614046511,6.1987738127228384,454.7647058823529,external_candidate,True,True
bw92_boll_or_rsi_rsi_high_trim_macd_trend_full_ma60_break_90,15,1.0,0.0174813887178687,0.0182583622366729,0.0125075587791316,0.0272919135600711,-0.2225087860397688,-0.2399901747576375,-0.0277130861612308,-0.0400829670631072,7.178848244380265,469.26666666666665,external_candidate,True,True
bw92_none_none_none_ma60_break_90,17,1.0,0.0133764321512487,0.0128584300880115,0.0097692675364214,0.0307922495428336,-0.1170631512663679,-0.1304395834176167,-0.0320283084280544,-0.0459753040101187,2.03821083031652,502.0,external_candidate,True,True
bw92_boll_lower_weak_trend_trim_strong_trend_full_none,19,1.0,0.0107711065703974,-0.0044586633115152,0.0094240771559381,0.0477586144922489,-0.1566303097363755,-0.1674014163067729,-0.0271014208873455,-0.0393532806968267,5.881689975043776,454.2105263157895,external_candidate,True,True
bw92_boll_or_rsi_weak_trend_trim_none_atr_96,19,1.0,0.010631299641099,0.0212575967054304,0.0092234209978108,0.0397352900832103,-0.1581922639017888,-0.1688235635428878,-0.0273837622603389,-0.0412503309128672,5.830205383412976,494.0,external_candidate,True,True
bw92_boll_or_rsi_none_none_drawdown_90,16,1.0,0.0131770504331935,0.0145434539899891,0.0085191208519615,0.0271706148273312,-0.1863597219423852,-0.1995367723755788,-0.0252103367683896,-0.0363681753914645,2.99651104868602,490.3125,external_candidate,True,True
bw92_boll_or_rsi_rsi_high_trim_none_ma60_break_90,23,1.0,0.0106359186832271,0.0195036308564866,0.0084590691058458,0.0276660352423823,-0.1133679108398598,-0.1240038295230869,-0.0245993472286762,-0.037890127712969,5.9312971952535865,500.17391304347825,external_candidate,True,True
