strategy_id,regime,count,mean
bw98_boll_or_rsi_none_ma_trend_full_none,bear,8379,1.0
bw98_boll_or_rsi_none_ma_trend_full_none,bull,8483,1.0
bw98_boll_or_rsi_none_ma_trend_full_none,crash,8333,1.0
bw98_boll_or_rsi_none_ma_trend_full_none,highvol,8305,0.998314268512944
bw98_boll_or_rsi_none_ma_trend_full_none,rotation,8298,1.0
bw98_boll_or_rsi_none_ma_trend_full_none,sideways,8202,1.0
bw99_boll_or_rsi_none_ma_trend_full_none,bear,8379,1.0
bw99_boll_or_rsi_none_ma_trend_full_none,bull,8483,1.0
bw99_boll_or_rsi_none_ma_trend_full_none,crash,8333,1.0
bw99_boll_or_rsi_none_ma_trend_full_none,highvol,8305,1.0
bw99_boll_or_rsi_none_ma_trend_full_none,rotation,8298,1.0
bw99_boll_or_rsi_none_ma_trend_full_none,sideways,8202,1.0
bw99_none_none_ma_trend_full_none,bear,8379,1.0
bw99_none_none_ma_trend_full_none,bull,8483,1.0
bw99_none_none_ma_trend_full_none,crash,8333,1.0
bw99_none_none_ma_trend_full_none,highvol,8305,1.0
bw99_none_none_ma_trend_full_none,rotation,8298,1.0
bw99_none_none_ma_trend_full_none,sideways,8202,1.0
