code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.03033,CSOP Hang Seng TECH Index ETF,2026-03-02 00:00:00,4.946,4.89,4.974,4.856,0.0,0.35974,5690407055.0,27850225613.0,-2.783300198807168,5.03
HK.03033,CSOP Hang Seng TECH Index ETF,2026-03-03 00:00:00,4.9,4.762,4.92,4.752,0.0,0.23523,3838074451.0,18506270390.0,-2.617586912065442,4.89
HK.03033,CSOP Hang Seng TECH Index ETF,2026-03-04 00:00:00,4.71,4.72,4.772,4.644,0.0,0.35726,6053681711.0,28390400485.0,-0.8819823603527892,4.762
HK.03033,CSOP Hang Seng TECH Index ETF,2026-03-05 00:00:00,4.796,4.692,4.804,4.66,0.0,0.13876,2394235784.0,11309136924.0,-0.593220338983042,4.72
HK.03033,CSOP Hang Seng TECH Index ETF,2026-03-06 00:00:00,4.706,4.836,4.866,4.688,0.0,0.04882,821053398.0,3948398648.0,3.0690537084399003,4.692
HK.03033,CSOP Hang Seng TECH Index ETF,2026-03-09 00:00:00,4.648,4.822,4.838,4.634,0.0,0.15106,2563884984.0,12192459819.0,-0.2894954507857782,4.836
HK.03033,CSOP Hang Seng TECH Index ETF,2026-03-10 00:00:00,4.92,4.946,4.948,4.848,0.0,0.15023,2539912035.0,12465575678.0,2.5715470759021084,4.822
HK.03033,CSOP Hang Seng TECH Index ETF,2026-03-11 00:00:00,4.996,4.936,5.01,4.926,0.0,0.04876,833087217.0,4136992832.0,-0.20218358269308104,4.946
HK.03033,CSOP Hang Seng TECH Index ETF,2026-03-12 00:00:00,4.92,4.924,4.972,4.86,0.0,0.06767,1141650455.0,5599216770.0,-0.24311183144245474,4.936
HK.03033,CSOP Hang Seng TECH Index ETF,2026-03-13 00:00:00,4.894,4.87,4.938,4.852,0.0,0.12566,2119076203.0,10362317902.0,-1.0966693744922882,4.924
HK.03033,CSOP Hang Seng TECH Index ETF,2026-03-16 00:00:00,4.886,4.998,5.02,4.828,0.0,0.13314,2267553083.0,11192849783.0,2.62833675564682,4.87
HK.03033,CSOP Hang Seng TECH Index ETF,2026-03-17 00:00:00,5.025,4.998,5.12,4.98,0.0,0.0875,1546767761.0,7793600837.0,0.0,4.998
