artifact_type,path,run_id,schedule_slot,run_time_bj,run_time_au,run_created_at,run_status,data_quality_status,file_created_at,file_modified_at,file_metadata_changed_at,size_bytes,sha256
moomoo_raw_data,data/moomoo/moomoo_collect_20260612T130021Z_3e03c0c0/US_AAPL_K_DAY_2026-06-01_2026-06-12.csv,moomoo_collect_20260612T130021Z_3e03c0c0,MOOMOO_COLLECT,2026-06-12T21:00:21+08:00,2026-06-12T23:00:21+10:00,2026-06-12T13:00:21+00:00,success,pass,2026-06-12T21:00:21+08:00,2026-06-12T21:00:21+08:00,2026-06-12T21:00:22+08:00,1264,dcbc4149b4f9ab55f500f27b62341a0a660ea1cdceef94dfb38e846c08fffdb6
moomoo_snapshot,data/moomoo/moomoo_collect_20260612T130021Z_3e03c0c0/snapshot.json,moomoo_collect_20260612T130021Z_3e03c0c0,MOOMOO_COLLECT,2026-06-12T21:00:21+08:00,2026-06-12T23:00:21+10:00,2026-06-12T13:00:21+00:00,success,pass,2026-06-12T21:00:21+08:00,2026-06-12T21:00:21+08:00,2026-06-12T21:00:21+08:00,5268,3e96ac1c52a1cfa9875a5c87797f8946b689ca80692840828b332082b658761e
moomoo_raw_data,data/moomoo/moomoo_collect_20260612T130400Z_67766471/US_AAPL_K_DAY_2026-06-01_2026-06-12.csv,moomoo_collect_20260612T130400Z_67766471,MOOMOO_COLLECT,2026-06-12T21:04:01+08:00,2026-06-12T23:04:01+10:00,2026-06-12T13:04:00+00:00,success,pass,2026-06-12T21:04:01+08:00,2026-06-12T21:04:01+08:00,2026-06-12T21:04:01+08:00,1264,dcbc4149b4f9ab55f500f27b62341a0a660ea1cdceef94dfb38e846c08fffdb6
moomoo_snapshot,data/moomoo/moomoo_collect_20260612T130400Z_67766471/snapshot.json,moomoo_collect_20260612T130400Z_67766471,MOOMOO_COLLECT,2026-06-12T21:04:01+08:00,2026-06-12T23:04:01+10:00,2026-06-12T13:04:00+00:00,success,pass,2026-06-12T21:04:01+08:00,2026-06-12T21:04:01+08:00,2026-06-12T21:04:01+08:00,5273,2677c0651445142ca8a72296261bbb857b14a74320d9be861d479e9b237c4e2f
moomoo_raw_data,data/moomoo/moomoo_collect_20260612T131136Z_20ee143e/US_AAPL_K_DAY_2026-06-01_2026-06-12.csv,moomoo_collect_20260612T131136Z_20ee143e,MOOMOO_COLLECT,2026-06-12T21:11:39+08:00,2026-06-12T23:11:39+10:00,2026-06-12T13:11:36+00:00,success,pass,2026-06-12T21:11:39+08:00,2026-06-12T21:11:39+08:00,2026-06-12T22:04:14+08:00,1264,dcbc4149b4f9ab55f500f27b62341a0a660ea1cdceef94dfb38e846c08fffdb6
moomoo_snapshot,data/moomoo/moomoo_collect_20260612T131136Z_20ee143e/snapshot.json,moomoo_collect_20260612T131136Z_20ee143e,MOOMOO_COLLECT,2026-06-12T21:11:39+08:00,2026-06-12T23:11:39+10:00,2026-06-12T13:11:36+00:00,success,pass,2026-06-12T21:11:38+08:00,2026-06-12T21:11:38+08:00,2026-06-12T22:04:14+08:00,5267,ba6d6d386acd7438411a3036209fafc6c2aac685187aa7646fc289d5c721e4fd
moomoo_raw_data,data/moomoo/moomoo_collect_20260612T133659Z_c879eddf/US_SPY_K_DAY_2026-06-01_2026-06-12.csv,moomoo_collect_20260612T133659Z_c879eddf,MOOMOO_COLLECT,2026-06-12T21:37:03+08:00,2026-06-12T23:37:03+10:00,2026-06-12T13:36:59+00:00,success,pass,2026-06-12T21:37:03+08:00,2026-06-12T21:37:03+08:00,2026-06-12T21:37:03+08:00,1464,2bac161bbae921d8ce78a8b17018713214837129d99a3306e55000cb41a075ec
moomoo_snapshot,data/moomoo/moomoo_collect_20260612T133659Z_c879eddf/snapshot.json,moomoo_collect_20260612T133659Z_c879eddf,MOOMOO_COLLECT,2026-06-12T21:37:03+08:00,2026-06-12T23:37:03+10:00,2026-06-12T13:36:59+00:00,success,pass,2026-06-12T21:37:03+08:00,2026-06-12T21:37:03+08:00,2026-06-12T21:37:03+08:00,5223,c689535794c7c64c417bd677767ca8c62590eca7a458fa7fb542f733878f3a85
moomoo_raw_data,data/moomoo/moomoo_collect_20260612T222828Z_deebca84/HK_03033_K_DAY_2026-03-02_2026-06-12.csv,moomoo_collect_20260612T222828Z_deebca84,MOOMOO_COLLECT,2026-06-13T06:28:57+08:00,2026-06-13T08:28:57+10:00,2026-06-12T22:28:28+00:00,partial,manual_review,2026-06-13T06:28:57+08:00,2026-06-13T06:28:57+08:00,2026-06-13T06:28:58+08:00,10275,8c5214b65f4ae8a94efb4254f4326fda37548591333d12515d1f3bddddf3b758
moomoo_raw_data,data/moomoo/moomoo_collect_20260612T222828Z_deebca84/US_QQQ_K_DAY_2026-03-02_2026-06-12.csv,moomoo_collect_20260612T222828Z_deebca84,MOOMOO_COLLECT,2026-06-13T06:28:57+08:00,2026-06-13T08:28:57+10:00,2026-06-12T22:28:28+00:00,partial,manual_review,2026-06-13T06:28:56+08:00,2026-06-13T06:28:56+08:00,2026-06-13T06:28:57+08:00,10640,53e70ec22bf7eb876ad6d4570139b5113def207e1e3c4942b8a8fd217c30d6f0
