table,row_count,table_hash,run_count,first_run_time_bj,last_run_time_bj,first_run_created_at,last_run_created_at
asset_master,23,e67fcddb0b59c40ad3113edbd5f199c2b80e5dab77d01382da9b8d170f3c8093,,,,,
audit_log,39,9351a0386d23d675ea1771df4af561c2af2aa3784cf2d2e3e016c3c9dec7e4ad,27,2026-06-12T13:30:00+08:00,2026-06-15T14:30:00+08:00,2026-06-12T12:11:24+00:00,2026-06-13T09:45:39+00:00
automation_tick_log,689,78d6452068917c8537abd58ea8de3d96c76f450c7134c80dab407abdf7018f0e,16,2026-06-12T14:00:00+08:00,2026-06-15T14:30:00+08:00,2026-06-12T12:29:19+00:00,2026-06-13T09:45:39+00:00
baseline_snapshot,45,897c516e6dbac32e433da32af03e0e72c6abbd4db36e75e07db770bc0b972990,9,2026-06-13T06:00:00+08:00,2026-06-15T14:30:00+08:00,2026-06-12T22:34:10+00:00,2026-06-13T09:45:39+00:00
comparison_snapshot,480,fa41c5389bd0623dd3c49ed15c7bc6f872e887d561b63bbd7e1a320deb8dc691,24,2026-06-12T13:30:00+08:00,2026-06-15T14:30:00+08:00,2026-06-12T12:29:02+00:00,2026-06-13T09:45:39+00:00
conflict_log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,,,,
decision_record,130,4403f04b5203dab888fd2eca6a05508e237d1fdfe04f8d6832d6f19e215ca039,26,2026-06-12T13:30:00+08:00,2026-06-15T14:30:00+08:00,2026-06-12T12:11:24+00:00,2026-06-13T09:45:39+00:00
fund_nav_snapshot,199,6144b60828d39bb60cbfd3c95456d13f68006f1c352c85d1ab6c56b8f96b13c7,26,2026-06-12T13:30:00+08:00,2026-06-15T14:30:00+08:00,2026-06-12T12:11:24+00:00,2026-06-13T09:45:39+00:00
fund_rule_snapshot,208,9c12cbdf001a811101e7d5783eff2ebda72726aeacdbeb30ac0023bdf5e9abef,26,2026-06-12T13:30:00+08:00,2026-06-15T14:30:00+08:00,2026-06-12T12:11:24+00:00,2026-06-13T09:45:39+00:00
manual_review_decision,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,,,,
manual_review_queue,69,71b9fcfb99d229cc88fbe5e774f7a5cd78b6826ef95c0dbe90f571b3883c16ec,26,2026-06-12T13:30:00+08:00,2026-06-15T14:30:00+08:00,2026-06-12T12:11:24+00:00,2026-06-13T09:45:39+00:00
market_kline_snapshot,11982,f969b8e54b519b04c5d65c3658b8932be1562342ba5efef03243c029d8f3645a,31,2026-06-12T13:30:00+08:00,2026-06-15T14:30:00+08:00,2026-06-12T12:11:24+00:00,2026-06-13T09:45:39+00:00
missing_data_log,94,0c8fc1cd1572e30144f64c49b883151c7f61409217006a2e5dbda7437960beb7,26,2026-06-12T13:30:00+08:00,2026-06-15T14:30:00+08:00,2026-06-12T12:11:24+00:00,2026-06-13T09:45:39+00:00
notification_log,51,68eb6277069e2d161913b1d121acec3143cc476d3e1f4bb69067e2aa2ca03e5e,27,2026-06-12T13:30:00+08:00,2026-06-15T14:30:00+08:00,2026-06-12T12:11:24+00:00,2026-06-13T09:45:39+00:00
position_snapshot,8,d96bce1498c9d794b553bc74c1adf306863fadabc35422400f76c43ce6861edb,2,2026-06-12T12:11:19+00:00,2026-06-12T12:28:52+00:00,2026-06-12T12:11:19+00:00,2026-06-12T12:28:52+00:00
rebalance_event_log,106,9d0df92d447effc8ae468144086d18fb2e024d3e52bf013d73d27017bd02a6a6,20,2026-06-12T13:30:00+08:00,2026-06-15T14:30:00+08:00,2026-06-12T12:29:02+00:00,2026-06-13T09:45:39+00:00
recommendation_snapshot,130,962fc842ab373ec64a00876615491661a0d37b72a703e37424818ab3bf087a9a,26,2026-06-12T13:30:00+08:00,2026-06-15T14:30:00+08:00,2026-06-12T12:11:24+00:00,2026-06-13T09:45:39+00:00
run_log,33,b3ac33a58915714ff3b4148e2cd95ef135b39df969fa26b29f14aee0f15e0f93,33,2026-06-12T12:11:19+00:00,2026-06-15T14:30:00+08:00,2026-06-12T12:11:19+00:00,2026-06-13T09:45:39+00:00
score_snapshot,208,ea59890430726cc0aaee91fae8350148e705d1d10d6e289690e3c85406b6d77b,26,2026-06-12T13:30:00+08:00,2026-06-15T14:30:00+08:00,2026-06-12T12:11:24+00:00,2026-06-13T09:45:39+00:00
source_evidence_audit_snapshot,316,75b243bd2a750418022c88667de73a88a4d0dcb91102f5063e23b889cdbb917d,,,,,
source_log,429,b5fa0925cfbb09b9a8f7c056e5d333d6a1d5972507509aca6ff1cc1b86734659,33,2026-06-12T12:11:19+00:00,2026-06-15T14:30:00+08:00,2026-06-12T12:11:19+00:00,2026-06-13T09:45:39+00:00
